#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 263 | 0.000004800s | 24 B
                 264 | 0.000004600s | 24 B
                 265 | 0.000004000s | 24 B
                 266 | 0.000004700s | 24 B
                 267 | 0.000004600s | 24 B
                 268 | 0.000004500s | 24 B
                 269 | 0.000004700s | 24 B
                 270 | 0.000004600s | 24 B
                 271 | 0.000004800s | 24 B
                 272 | 0.000005500s | 24 B
                 273 | 0.000004600s | 24 B
                 274 | 0.000004500s | 24 B
                 275 | 0.000004700s | 24 B
                 276 | 0.000004500s | 24 B
                 277 | 0.000005600s | 24 B
                 278 | 0.000004500s | 32 B
                 279 | 0.000004800s | 32 B
                 280 | 0.000004500s | 32 B
                 281 | 0.000004200s | 32 B
                 282 | 0.000005500s | 32 B
                 283 | 0.000004800s | 32 B
                 284 | 0.000005400s | 32 B
                 285 | 0.000004700s | 32 B
                 286 | 0.000004600s | 32 B
                 287 | 0.000004800s | 32 B
                 288 | 0.000004300s | 32 B
                 289 | 0.000004700s | 32 B
                 290 | 0.000013100s | 32 B
                 291 | 0.000004700s | 32 B
                 292 | 0.000004400s | 32 B
                 293 | 0.000005400s | 32 B
                 294 | 0.000005200s | 32 B
                 295 | 0.000013800s | 32 B
                 296 | 0.000004200s | 32 B
                 297 | 0.000004500s | 32 B
                 298 | 0.000004200s | 32 B
                 299 | 0.000004500s | 32 B
                 300 | 0.000004300s | 32 B
                 301 | 0.000003800s | 32 B
                 302 | 0.000005800s | 32 B
                 303 | 0.000004500s | 32 B
                 304 | 0.000004500s | 32 B
                 305 | 0.000005400s | 32 B
                 306 | 0.000004200s | 32 B
                 307 | 0.000004000s | 32 B
                 308 | 0.000024400s | 32 B
                 309 | 0.000004800s | 32 B
                 310 | 0.000005700s | 32 B
                 311 | 0.000005800s | 32 B
                 312 | 0.000004400s | 32 B
                 313 | 0.000004500s | 32 B
                 314 | 0.000005700s | 32 B
                 315 | 0.000004500s | 32 B
                 316 | 0.000005300s | 32 B
                 317 | 0.000004700s | 32 B
                 318 | 0.000005400s | 32 B
                 319 | 0.000024100s | 32 B
                 320 | 0.000004800s | 32 B
                 321 | 0.000004800s | 32 B
                 322 | 0.000004400s | 32 B
                 323 | 0.000020600s | 32 B
                 324 | 0.000015600s | 32 B
                 325 | 0.000004800s | 32 B
                 326 | 0.000004500s | 32 B
                 327 | 0.000004200s | 32 B
                 328 | 0.000025800s | 32 B
                 329 | 0.000005600s | 32 B
                 330 | 0.000005400s | 32 B
                 331 | 0.000005200s | 32 B
                 332 | 0.000004900s | 32 B
                 333 | 0.000004500s | 32 B
                 334 | 0.000004400s | 32 B
                 335 | 0.000005600s | 32 B
                 336 | 0.000003800s | 32 B
