#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 263 | 0.000016500s | 23 B
                 264 | 0.000015300s | 23 B
                 265 | 0.000016800s | 23 B
                 266 | 0.000015900s | 23 B
                 267 | 0.000017000s | 24 B
                 268 | 0.000018200s | 24 B
                 269 | 0.000016400s | 24 B
                 270 | 0.000014500s | 24 B
                 271 | 0.000021100s | 24 B
                 272 | 0.000013900s | 24 B
                 273 | 0.000016100s | 24 B
                 274 | 0.000021400s | 24 B
                 275 | 0.000016600s | 24 B
                 276 | 0.000016100s | 24 B
                 277 | 0.000015600s | 24 B
                 278 | 0.000013900s | 24 B
                 279 | 0.000021900s | 25 B
                 280 | 0.000018800s | 25 B
                 281 | 0.000021100s | 25 B
                 282 | 0.000019900s | 25 B
                 283 | 0.000020700s | 25 B
                 284 | 0.000020500s | 25 B
                 285 | 0.000015500s | 25 B
                 286 | 0.000021400s | 25 B
                 287 | 0.000021300s | 25 B
                 288 | 0.000020100s | 25 B
                 289 | 0.000015300s | 25 B
                 290 | 0.000016200s | 26 B
                 291 | 0.000019800s | 26 B
                 292 | 0.000015900s | 26 B
                 293 | 0.000015500s | 26 B
                 294 | 0.000016800s | 26 B
                 295 | 0.000017100s | 26 B
                 296 | 0.000016500s | 26 B
                 297 | 0.000017000s | 26 B
                 298 | 0.000016900s | 26 B
                 299 | 0.000017500s | 26 B
                 300 | 0.000017300s | 26 B
                 301 | 0.000018400s | 26 B
                 302 | 0.000016300s | 27 B
                 303 | 0.000017300s | 27 B
                 304 | 0.000015300s | 27 B
                 305 | 0.000017000s | 27 B
                 306 | 0.000014600s | 27 B
                 307 | 0.000015400s | 27 B
                 308 | 0.000021300s | 27 B
                 309 | 0.000017400s | 27 B
                 310 | 0.000017100s | 27 B
                 311 | 0.000017700s | 27 B
                 312 | 0.000015900s | 27 B
                 313 | 0.000016900s | 28 B
                 314 | 0.000015800s | 28 B
                 315 | 0.000017400s | 28 B
                 316 | 0.000017700s | 28 B
                 317 | 0.000017400s | 28 B
                 318 | 0.000017200s | 28 B
                 319 | 0.000081800s | 28 B
                 320 | 0.000016000s | 28 B
                 321 | 0.000018000s | 28 B
                 322 | 0.000016500s | 28 B
                 323 | 0.000017000s | 28 B
                 324 | 0.000016500s | 28 B
                 325 | 0.000017300s | 29 B
                 326 | 0.000017000s | 29 B
                 327 | 0.000017600s | 29 B
                 328 | 0.000016800s | 29 B
                 329 | 0.000017400s | 29 B
                 330 | 0.000016700s | 29 B
                 331 | 0.000018100s | 29 B
                 332 | 0.000017200s | 29 B
                 333 | 0.000015700s | 29 B
                 334 | 0.000023300s | 29 B
                 335 | 0.000020000s | 29 B
                 336 | 0.000014200s | 30 B
                 337 | 0.000017300s | 30 B
                 338 | 0.000014700s | 30 B
                 339 | 0.000017700s | 30 B
                 340 | 0.000016800s | 30 B
                 341 | 0.000017700s | 30 B
                 342 | 0.000018400s | 30 B
                 343 | 0.000017900s | 30 B
                 344 | 0.000016900s | 30 B
                 345 | 0.000017700s | 30 B
                 346 | 0.000016800s | 30 B
                 347 | 0.000018000s | 30 B
                 348 | 0.000017300s | 31 B
                 349 | 0.000018000s | 31 B
                 350 | 0.000017800s | 31 B
                 351 | 0.000018800s | 31 B
                 352 | 0.000017400s | 31 B
                 353 | 0.000018000s | 31 B
                 354 | 0.000017500s | 31 B
                 355 | 0.000018500s | 31 B
                 356 | 0.000018400s | 31 B
                 357 | 0.000016400s | 31 B
                 358 | 0.000018000s | 31 B
                 359 | 0.000018900s | 32 B
                 360 | 0.000017500s | 32 B
                 361 | 0.000018900s | 32 B
                 362 | 0.000018800s | 32 B
                 363 | 0.000019500s | 32 B
                 364 | 0.000017800s | 32 B
                 365 | 0.000054000s | 32 B
                 366 | 0.000017800s | 32 B
                 367 | 0.000019300s | 32 B
                 368 | 0.000017400s | 32 B
                 369 | 0.000018500s | 32 B
                 370 | 0.000022800s | 32 B
                 371 | 0.000018500s | 33 B
                 372 | 0.000017600s | 33 B
                 373 | 0.000018300s | 33 B
                 374 | 0.000018100s | 33 B
                 375 | 0.000019000s | 33 B
                 376 | 0.000017500s | 33 B
                 377 | 0.000018300s | 33 B
                 378 | 0.000017800s | 33 B
                 379 | 0.000018800s | 33 B
                 380 | 0.000018200s | 33 B
                 381 | 0.000018800s | 33 B
                 382 | 0.000018800s | 34 B
                 383 | 0.000019200s | 34 B
                 384 | 0.000016500s | 34 B
                 385 | 0.000018200s | 34 B
                 386 | 0.000018100s | 34 B
                 387 | 0.000019000s | 34 B
