#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 415 | 0.000005500s | 48 B
                 416 | 0.000005600s | 48 B
                 417 | 0.000005600s | 48 B
                 418 | 0.000005500s | 48 B
                 419 | 0.000006100s | 48 B
                 420 | 0.000006000s | 48 B
                 421 | 0.000006000s | 48 B
                 422 | 0.000005600s | 48 B
                 423 | 0.000005100s | 48 B
                 424 | 0.000005700s | 48 B
                 425 | 0.000005500s | 48 B
                 426 | 0.000006000s | 48 B
                 427 | 0.000005600s | 48 B
                 428 | 0.000006100s | 48 B
                 429 | 0.000005700s | 48 B
                 430 | 0.000005700s | 48 B
                 431 | 0.000006300s | 48 B
                 432 | 0.000005700s | 48 B
                 433 | 0.000005000s | 48 B
                 434 | 0.000005600s | 48 B
                 435 | 0.000005300s | 48 B
                 436 | 0.000005700s | 48 B
                 437 | 0.000006100s | 48 B
                 438 | 0.000006100s | 48 B
                 439 | 0.000005000s | 48 B
                 440 | 0.000006000s | 48 B
                 441 | 0.000006200s | 48 B
                 442 | 0.000006300s | 48 B
                 443 | 0.000005700s | 48 B
                 444 | 0.000006300s | 48 B
                 445 | 0.000006100s | 48 B
                 446 | 0.000006300s | 48 B
                 447 | 0.000005800s | 48 B
                 448 | 0.000005600s | 48 B
                 449 | 0.000005800s | 48 B
                 450 | 0.000005800s | 48 B
                 451 | 0.000006400s | 48 B
                 452 | 0.000006300s | 48 B
                 453 | 0.000006400s | 48 B
                 454 | 0.000005500s | 48 B
                 455 | 0.000005500s | 48 B
                 456 | 0.000006000s | 48 B
                 457 | 0.000008300s | 48 B
                 458 | 0.000006500s | 48 B
                 459 | 0.000006300s | 48 B
                 460 | 0.000006400s | 48 B
                 461 | 0.000006900s | 48 B
                 462 | 0.000006400s | 48 B
                 463 | 0.000006400s | 48 B
                 464 | 0.000006600s | 48 B
                 465 | 0.000005900s | 48 B
                 466 | 0.000006600s | 48 B
                 467 | 0.000006100s | 48 B
                 468 | 0.000006100s | 48 B
                 469 | 0.000005300s | 48 B
                 470 | 0.000005400s | 48 B
                 471 | 0.000005100s | 48 B
                 472 | 0.000004800s | 48 B
                 473 | 0.000005400s | 48 B
                 474 | 0.000004900s | 48 B
                 475 | 0.000005300s | 48 B
                 476 | 0.000006600s | 48 B
                 477 | 0.000006400s | 48 B
                 478 | 0.000006100s | 48 B
                 479 | 0.000005000s | 48 B
                 480 | 0.000005200s | 48 B
                 481 | 0.000004600s | 48 B
                 482 | 0.000005100s | 48 B
                 483 | 0.000006200s | 48 B
                 484 | 0.000005800s | 48 B
                 485 | 0.000006600s | 48 B
                 486 | 0.000005400s | 48 B
                 487 | 0.000005100s | 48 B
                 488 | 0.000005300s | 48 B
                 489 | 0.000005000s | 48 B
                 490 | 0.000005000s | 48 B
                 491 | 0.000005900s | 48 B
                 492 | 0.000005100s | 48 B
                 493 | 0.000004500s | 48 B
                 494 | 0.000004700s | 48 B
                 495 | 0.000004400s | 48 B
                 496 | 0.000004500s | 48 B
                 497 | 0.000004700s | 48 B
                 498 | 0.000005200s | 48 B
                 499 | 0.000004600s | 48 B
                 500 | 0.000005100s | 48 B
                 501 | 0.000005200s | 48 B
                 502 | 0.000006200s | 48 B
                 503 | 0.000006000s | 48 B
                 504 | 0.000006000s | 48 B
                 505 | 0.000005400s | 48 B
                 506 | 0.000005600s | 48 B
                 507 | 0.000005400s | 48 B
                 508 | 0.000005300s | 48 B
                 509 | 0.000004500s | 48 B
                 510 | 0.000004400s | 48 B
                 511 | 0.000005200s | 48 B
                 512 | 0.000019800s | 48 B
                 513 | 0.000004400s | 48 B
                 514 | 0.000004700s | 48 B
                 515 | 0.000004500s | 48 B
                 516 | 0.000004700s | 48 B
                 517 | 0.000005100s | 48 B
                 518 | 0.000004900s | 48 B
                 519 | 0.000013600s | 48 B
                 520 | 0.000004900s | 48 B
                 521 | 0.000004400s | 48 B
                 522 | 0.000004900s | 48 B
                 523 | 0.000005100s | 48 B
                 524 | 0.000004500s | 48 B
                 525 | 0.000005000s | 48 B
                 526 | 0.000005000s | 48 B
                 527 | 0.000005000s | 48 B
                 528 | 0.000015100s | 48 B
                 529 | 0.000005600s | 48 B
                 530 | 0.000005400s | 48 B
                 531 | 0.000005000s | 48 B
                 532 | 0.000005000s | 48 B
                 533 | 0.000005000s | 48 B
                 534 | 0.000005100s | 48 B
                 535 | 0.000005000s | 48 B
                 536 | 0.000005200s | 48 B
                 537 | 0.000005100s | 48 B
                 538 | 0.000005100s | 48 B
                 539 | 0.000020600s | 48 B
                 540 | 0.000020400s | 48 B
                 541 | 0.000005100s | 48 B
                 542 | 0.000005200s | 48 B
                 543 | 0.000005200s | 48 B
                 544 | 0.000005200s | 48 B
                 545 | 0.000006200s | 48 B
                 546 | 0.000006100s | 48 B
                 547 | 0.000005500s | 48 B
                 548 | 0.000005200s | 48 B
                 549 | 0.000005100s | 48 B
                 550 | 0.000006400s | 48 B
                 551 | 0.000020700s | 48 B
                 552 | 0.000005100s | 48 B
                 553 | 0.000005300s | 48 B
                 554 | 0.000005000s | 48 B
                 555 | 0.000005500s | 64 B
                 556 | 0.000005100s | 64 B
                 557 | 0.000004800s | 64 B
                 558 | 0.000008000s | 64 B
                 559 | 0.000005900s | 64 B
                 560 | 0.000005400s | 64 B
                 561 | 0.000005600s | 64 B
                 562 | 0.000005300s | 64 B
                 563 | 0.000005500s | 64 B
                 564 | 0.000021100s | 64 B
                 565 | 0.000006100s | 64 B
                 566 | 0.000005400s | 64 B
                 567 | 0.000006000s | 64 B
                 568 | 0.000005400s | 64 B
                 569 | 0.000005400s | 64 B
                 570 | 0.000005300s | 64 B
                 571 | 0.000005100s | 64 B
                 572 | 0.000005300s | 64 B
                 573 | 0.000006100s | 64 B
                 574 | 0.000005700s | 64 B
                 575 | 0.000006200s | 64 B
                 576 | 0.000005800s | 64 B
                 577 | 0.000005900s | 64 B
                 578 | 0.000006000s | 64 B
                 579 | 0.000006000s | 64 B
                 580 | 0.000005500s | 64 B
                 581 | 0.000005400s | 64 B
                 582 | 0.000021300s | 64 B
                 583 | 0.000005500s | 64 B
                 584 | 0.000021200s | 64 B
                 585 | 0.000006300s | 64 B
                 586 | 0.000005600s | 64 B
                 587 | 0.000005600s | 64 B
                 588 | 0.000005000s | 64 B
                 589 | 0.000005600s | 64 B
                 590 | 0.000006400s | 64 B
                 591 | 0.000005600s | 64 B
                 592 | 0.000005600s | 64 B
                 593 | 0.000005600s | 64 B
                 594 | 0.000006400s | 64 B
                 595 | 0.000005600s | 64 B
                 596 | 0.000005600s | 64 B
                 597 | 0.000005600s | 64 B
                 598 | 0.000006600s | 64 B
                 599 | 0.000005700s | 64 B
                 600 | 0.000021300s | 64 B
                 601 | 0.000006100s | 64 B
                 602 | 0.000006200s | 64 B
                 603 | 0.000005800s | 64 B
                 604 | 0.000005800s | 64 B
                 605 | 0.000005900s | 64 B
                 606 | 0.000005800s | 64 B
                 607 | 0.000005800s | 64 B
                 608 | 0.000005800s | 64 B
                 609 | 0.000006300s | 64 B
                 610 | 0.000005300s | 64 B
                 611 | 0.000005300s | 64 B
                 612 | 0.000005800s | 64 B
                 613 | 0.000005700s | 64 B
                 614 | 0.000006600s | 64 B
                 615 | 0.000020900s | 64 B
                 616 | 0.000021800s | 64 B
                 617 | 0.000021300s | 64 B
                 618 | 0.000005600s | 64 B
                 619 | 0.000006100s | 64 B
                 620 | 0.000005900s | 64 B
                 621 | 0.000006100s | 64 B
                 622 | 0.000006300s | 64 B
                 623 | 0.000005400s | 64 B
                 624 | 0.000006200s | 64 B
                 625 | 0.000005500s | 64 B
