#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 278 | 0.000001900s | 24 B
                 279 | 0.000002200s | 25 B
                 280 | 0.000002000s | 25 B
                 281 | 0.000002600s | 25 B
                 282 | 0.000002400s | 25 B
                 283 | 0.000002700s | 25 B
                 284 | 0.000002000s | 25 B
                 285 | 0.000009000s | 25 B
                 286 | 0.000002300s | 25 B
                 287 | 0.000002600s | 25 B
                 288 | 0.000002300s | 25 B
                 289 | 0.000002100s | 25 B
                 290 | 0.000001900s | 26 B
                 291 | 0.000002200s | 26 B
                 292 | 0.000002000s | 26 B
                 293 | 0.000002100s | 26 B
                 294 | 0.000001900s | 26 B
                 295 | 0.000002600s | 26 B
                 296 | 0.000002300s | 26 B
                 297 | 0.000002500s | 26 B
                 298 | 0.000001900s | 26 B
                 299 | 0.000002100s | 26 B
                 300 | 0.000001800s | 26 B
                 301 | 0.000002100s | 26 B
                 302 | 0.000001900s | 27 B
                 303 | 0.000002200s | 27 B
                 304 | 0.000001900s | 27 B
                 305 | 0.000002700s | 27 B
                 306 | 0.000002300s | 27 B
                 307 | 0.000002600s | 27 B
                 308 | 0.000002000s | 27 B
                 309 | 0.000002100s | 27 B
                 310 | 0.000002000s | 27 B
                 311 | 0.000002300s | 27 B
                 312 | 0.000002100s | 27 B
                 313 | 0.000002100s | 28 B
                 314 | 0.000002000s | 28 B
                 315 | 0.000002600s | 28 B
                 316 | 0.000002400s | 28 B
                 317 | 0.000002900s | 28 B
                 318 | 0.000002500s | 28 B
                 319 | 0.000002400s | 28 B
                 320 | 0.000002300s | 28 B
                 321 | 0.000002200s | 28 B
                 322 | 0.000002000s | 28 B
                 323 | 0.000009300s | 28 B
                 324 | 0.000002600s | 28 B
                 325 | 0.000002700s | 29 B
                 326 | 0.000002500s | 29 B
                 327 | 0.000002700s | 29 B
                 328 | 0.000002000s | 29 B
                 329 | 0.000002400s | 29 B
                 330 | 0.000002200s | 29 B
                 331 | 0.000002300s | 29 B
                 332 | 0.000002000s | 29 B
                 333 | 0.000002200s | 29 B
                 334 | 0.000002000s | 29 B
                 335 | 0.000002800s | 29 B
                 336 | 0.000002400s | 30 B
                 337 | 0.000002600s | 30 B
                 338 | 0.000002000s | 30 B
                 339 | 0.000002400s | 30 B
                 340 | 0.000002000s | 30 B
                 341 | 0.000002300s | 30 B
                 342 | 0.000002100s | 30 B
                 343 | 0.000002300s | 30 B
                 344 | 0.000002100s | 30 B
                 345 | 0.000002200s | 30 B
                 346 | 0.000002500s | 30 B
                 347 | 0.000002700s | 30 B
                 348 | 0.000002000s | 31 B
                 349 | 0.000002200s | 31 B
                 350 | 0.000002100s | 31 B
                 351 | 0.000002300s | 31 B
                 352 | 0.000002100s | 31 B
                 353 | 0.000002300s | 31 B
